filename_stem	target	context	IPA
p_i	p	i	pi
i_p	p	i	ip
p_paix	p	ɛ	pɛ
paix_p	p	ɛ	ɛp
p_u	p	u	pu
u_p	p	u	up
or_p	p	ɔ	ɔp
t_i	t	i	ti
i_t	t	i	it
t_paix	t	ɛ	tɛ
paix_t	t	ɛ	ɛt
t_u	t	u	tu
u_t	t	u	ut
or_t	t	ɔ	ɔt
k_i	k	i	ki
i_k	k	i	ik
k_paix	k	ɛ	kɛ
paix_k	k	ɛ	ɛk
k_u	k	u	ku
u_k	k	u	uk
or_k	k	ɔ	ɔk
b_i	b	i	bi
i_b	b	i	ib
b_paix	b	ɛ	bɛ
paix_b	b	ɛ	ɛb
b_u	b	u	bu
u_b	b	u	ub
or_b	b	ɔ	ɔb
d_i	d	i	di
i_d	d	i	id
d_paix	d	ɛ	dɛ
paix_d	d	ɛ	ɛd
d_u	d	u	du
u_d	d	u	ud
or_d	d	ɔ	ɔd
g_i	g	i	gi
i_g	g	i	ig
g_paix	g	ɛ	gɛ
paix_g	g	ɛ	ɛg
g_u	g	u	gu
u_g	g	u	ug
or_g	g	ɔ	ɔg
l_i	l	i	li
i_l	l	i	il
l_paix	l	ɛ	lɛ
paix_l	l	ɛ	ɛl
l_u	l	u	lu
u_l	l	u	ul
or_l	l	ɔ	ɔl
r_i	ʁ	i	ʁi
i_r	ʁ	i	iʁ
r_paix	ʁ	ɛ	ʁɛ
paix_r	ʁ	ɛ	ɛʁ
r_u	ʁ	u	ʁu
u_r	ʁ	u	uʁ
or_r	ʁ	ɔ	ɔʁ
huit_i	ɥ	i	ɥi
huit_paix	ɥ	ɛ	ɥɛ
huit_u	ɥ	u	ɥu
i_agneau	ɲ	i	iɲ
paix_agneau	ɲ	ɛ	ɛɲ
u_agneau	ɲ	u	uɲ
or_agneau	ɲ	ɔ	ɔɲ
f_a	a	f	fa
a_f	a	f	af
f_o	o	f	fo
o_f	o	f	of
f_schwa	ə	f	fə
schwa_f	ə	f	əf
f_y	y	f	fy
y_f	y	f	yf
f_eux	ø	f	fø
eux_f	ø	f	øf
fe	e	f	fe
oeuf_f	œ	f	œf
s_a	a	s	sa
a_s	a	s	as
s_o	o	s	so
o_s	o	s	os
s_schwa	ə	s	sə
schwa_s	ə	s	əs
s_y	y	s	sy
y_s	y	s	ys
s_eux	ø	s	sø
eux_s	ø	s	øs
se	e	s	se
oeuf_s	œ	s	œs
sh_a	a	ʃ	ʃa
a_sh	a	ʃ	aʃ
sh_o	o	ʃ	ʃo
o_sh	o	ʃ	oʃ
sh_schwa	ə	ʃ	ʃə
schwa_sh	ə	ʃ	əʃ
sh_y	y	ʃ	ʃy
y_sh	y	ʃ	yʃ
sh_eux	ø	ʃ	ʃø
eux_sh	ø	ʃ	øʃ
she	e	ʃ	ʃe
oeuf_sh	œ	ʃ	œʃ
w_a	a	w	wa
a_w	a	w	aw
w_o	o	w	wo
o_w	o	w	ow
w_schwa	ə	w	wə
schwa_w	ə	w	əw
w_y	y	w	wy
y_w	y	w	yw
w_eux	ø	w	wø
eux_w	ø	w	øw
we	e	w	we
oeuf_w	œ	w	œw
j_a	a	j	ja
a_j	a	j	aj
j_o	o	j	jo
o_j	o	j	oj
j_schwa	ə	j	jə
schwa_j	ə	j	əj
j_y	y	j	jy
y_j	y	j	yj
j_eux	ø	j	jø
eux_j	ø	j	øj
je	e	j	je
oeuf_j	œ	j	œj
m_a	a	m	ma
a_m	a	m	am
m_o	o	m	mo
o_m	o	m	om
m_schwa	ə	m	mə
schwa_m	ə	m	əm
m_y	y	m	my
y_m	y	m	ym
m_eux	ø	m	mø
eux_m	ø	m	øm
me	e	m	me
oeuf_m	œ	m	œm
n_a	a	n	na
a_n	a	n	an
n_o	o	n	no
o_n	o	n	on
n_schwa	ə	n	nə
schwa_n	ə	n	ən
n_y	y	n	ny
y_n	y	n	yn
n_eux	ø	n	nø
eux_n	ø	n	øn
ne	e	n	ne
oeuf_n	œ	n	œn
f_on	ɔ̃	f	fɔ̃
s_on	ɔ̃	s	sɔ̃
sh_on	ɔ̃	ʃ	ʃɔ̃
w_on	ɔ̃	w	wɔ̃
j_on	ɔ̃	j	jɔ̃
m_on	ɔ̃	m	mɔ̃
n_on	ɔ̃	n	nɔ̃
f_on	ɔ̃	f	fɔ̃
s_on	ɔ̃	s	sɔ̃
sh_on	ɔ̃	ʃ	ʃɔ̃
w_on	ɔ̃	w	wɔ̃
j_on	ɔ̃	j	jɔ̃
f_hein	ɛ̃	f	fɛ̃
s_hein	ɛ̃	s	sɛ̃
sh_hein	ɛ̃	ʃ	ʃɛ̃
w_hein	ɛ̃	w	wɛ̃
j_hein	ɛ̃	j	jɛ̃
m_hein	ɛ̃	m	mɛ̃
n_hein	ɛ̃	n	nɛ̃
f_hein	ɛ̃	f	fɛ̃
s_hein	ɛ̃	s	sɛ̃
sh_hein	ɛ̃	ʃ	ʃɛ̃
w_hein	ɛ̃	w	wɛ̃
j_hein	ɛ̃	j	jɛ̃
f_gant	ɑ̃	f	fɑ̃
s_gant	ɑ̃	s	sɑ̃
sh_gant	ɑ̃	ʃ	ʃɑ̃
w_gant	ɑ̃	w	wɑ̃
j_gant	ɑ̃	j	jɑ̃
m_gant	ɑ̃	m	mɑ̃
n_gant	ɑ̃	n	nɑ̃
f_gant	ɑ̃	f	fɑ̃
s_gant	ɑ̃	s	sɑ̃
sh_gant	ɑ̃	ʃ	ʃɑ̃
w_gant	ɑ̃	w	wɑ̃
j_gant	ɑ̃	j	jɑ̃
f_un	œ̃	f	fœ̃
s_un	œ̃	s	sœ̃
sh_un	œ̃	ʃ	ʃœ̃
w_un	œ̃	w	wœ̃
j_un	œ̃	j	jœ̃
m_un	œ̃	m	mœ̃
n_un	œ̃	n	nœ̃
f_un	œ̃	f	fœ̃
s_un	œ̃	s	sœ̃
sh_un	œ̃	ʃ	ʃœ̃
w_un	œ̃	w	wœ̃
j_un	œ̃	j	jœ̃
